,Region and country of birth,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998 1,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
87,Qatar, 49 , 33 , 56 , 59 , 88 , 51 , 60 , 79 , 70 ,60,78,97,125,108,72,125,174,226,138,151,134,148,193,141,191,202,229,272,224,236
88,Saudi Arabia, 381 , 518 , 552 , 584 , 616 , 668 , 788 , 1164 , 815 ,703,763,1063,1178,1014,735,906,1210,1542,1171,1194,1418,1263,1396,1343,1463,1696,1744,2117,2135,2100
89,Singapore, 566 , 620 , 535 , 774 , 798 , 542 , 399 , 561 , 460 ,389,358,668,1100,1033,582,966,1204,997,985,922,832,774,690,712,835,779,781,812,818,801
90,Sri Lanka, 757 , 976 , 1377 , 1081 , 1109 , 989 , 960 , 1277 , 1128 ,1085,903,1118,1505,1529,1246,1431,1894,2191,1831,1935,2009,2036,2053,1994,1847,1767,1763,1913,1627,1594
91,Syria, 2675 , 2972 , 2837 , 2940 , 2933 , 2426 , 2362 , 3072 , 2269 ,2840,2056,2367,3350,2557,1938,2256,2831,2918,2385,2641,2442,2555,2785,3014,3366,3540,3840,4800,5877,14686
92,Taiwan, 13974 , 15151 , 13274 , 16344 , 14329 , 10032 , 9377 , 13401 , 6745 ,7097,6714,9019,12120,9775,6917,9005,9196,8086,8990,9073,8038,6732,6154,5331,5385,4697,4888,5120,4858,5079
93,Thailand, 9332 , 8914 , 7397 , 7090 , 6654 , 5489 , 5136 , 4310 , 3094 ,3102,2381,3753,4245,4144,3126,4318,5505,11749,8751,6637,10444,9384,9962,9459,7583,6197,7502,7039,6311,5556
94,Turkey, 2007 , 2468 , 2528 , 2488 , 2204 , 1840 , 2947 , 3657 , 3145 ,2682,2219,2606,3215,3375,3029,3835,4614,4941,4425,4210,4958,4483,4403,4162,4144,3834,4201,4469,4844,5585
95,United Arab Emirates, 114 , 192 , 164 , 172 , 196 , 286 , 317 , 343 , 329 ,329,310,435,460,472,380,586,812,1006,758,693,697,779,707,854,910,1039,1193,1370,1314,1379
96,Vietnam, 37739 , 48792 , 55307 , 77735 , 59614 , 41345 , 41752 , 42067 , 38519 ,17649,20393,26553,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632,34157,28304,27101,30283,30832,41451,38231,33834
97,Yemen, X , X , 1547 , 2056 , 1793 , 741 , 1501 , 2209 , 1663 ,1859,1161,1789,1607,1227,1382,1760,3366,4308,2396,1872,3134,3591,3361,2620,3532,3492,3194,13040,6029,1885
101,Algeria, 230 , 302 , 269 , 407 , 360 , 364 , 650 , 1059 , 717 ,804,789,906,875,1030,759,805,1115,1300,1036,1037,1485,1305,1364,1369,1241,1669,1775,2180,2139,2123
102,Angola, 143 , 141 , 132 , 107 , 92 , 75 , 81 , 125 , 75 ,66,57,87,94,92,59,107,188,272,199,221,173,148,148,187,143,148,154,198,209,176
103,Benin, 16 , 27 , 24 , 10 , 21 , 18 , 23 , 38 , 48 ,47,59,62,75,137,76,185,193,275,258,317,401,486,462,415,342,517,466,577,648,573
104,Botswana, 10 , 21 , 3 , 19 , 13 , 13 , 16 , 21 , 18 ,12,5,13,24,30,27,34,54,53,49,41,55,66,76,80,53,58,61,78,112,72
105,Burkina Faso, 11 , 8 , 8 , 16 , 11 , 16 , 17 , 17 , 13 ,14,17,48,68,64,60,103,128,221,238,238,416,377,433,558,585,583,575,642,541,525
106,Burundi, 9 , 5 , 16 , 11 , 13 , 14 , 26 , 36 , 59 ,51,16,28,79,120,74,100,186,320,257,255,1505,841,593,535,260,273,351,415,1094,762
107,Cameroon, 187 , 380 , 452 , 236 , 262 , 305 , 506 , 803 , 898 ,691,826,860,791,984,927,1309,1458,2919,3392,3771,3463,4161,4754,3815,3908,3943,4374,4899,4668,4236
109,Central African Republic, 1 , 14 , 8 , 8 , 15 , 7 , 2 , 27 , 10 ,6,3,4,11,13,6,17,24,51,52,88,107,101,134,116,213,155,234,202,178,304
110,Chad, 4 , 8 , 9 , 4 , 3 , 9 , 11 , 13 , 18 ,8,24,23,44,47,8,23,31,73,74,96,102,120,171,155,111,119,175,136,205,251
114,Cote d'Ivoire, 98 , 184 , 347 , 259 , 250 , 268 , 289 , 432 , 430 ,364,305,439,596,629,483,666,930,2067,1193,1645,2159,1621,1302,1760,1486,1477,1497,1617,1810,1375
115,Djibouti, 8 , 22 , 21 , 14 , 14 , 10 , 25 , 19 , 18 ,15,6,14,22,30,16,37,50,34,23,39,54,37,56,106,90,190,370,281,222,281
116,Egypt, 3717 , 4117 , 5602 , 3576 , 3556 , 3392 , 5648 , 6186 , 5031 ,4831,4429,4450,5159,4852,3348,5522,7905,10500,9267,8712,8844,8978,7778,8988,10294,11477,12085,12045,9834,9826
117,Equatorial Guinea, 2 , 5 , 5 , 2 , 1 , 1 , 1 , 1 , 2 ,7,1,5,3,8,D,13,10,13,4,16,32,12,13,20,18,15,25,18,20,17
