,Region and country of birth,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
157,Palau,16,18,7,10,16,12,15,14,13,7
158,Panama,"1,806","1,536","1,374","1,281","1,234","1,095","1,052","1,029",889,897
159,Papua New Guinea,19,30,20,21,27,18,11,23,18,27
160,Paraguay,530,467,500,467,448,391,382,434,391,389
161,Peru,"16,957","14,247","14,064","12,609","12,564","10,606","10,148","10,940","10,115","9,878"
162,Philippines,"60,029","58,173","57,011","57,327","54,446","49,996","56,478","53,287","49,147","47,258"
163,Poland,"8,754","7,643","6,863","6,300","6,430","5,689","5,275","5,603","4,845","4,357"
164,Portugal,946,755,821,811,918,892,857,"1,006",939,889
165,Qatar,134,148,193,141,191,202,229,272,224,236
166,Romania,"4,910","4,003","3,882","3,748","3,773","3,246","3,376","3,554","2,953","2,448"
167,Russia,"8,238","6,718","7,944","9,969","9,753","9,079","8,799","9,297","8,918","8,621"
168,Rwanda,952,489,520,592,540,555,732,"1,357","1,394","1,620"
169,Saint Kitts and Nevis,310,339,350,311,259,263,222,250,238,250
170,Saint Lucia,"1,027",872,785,919,853,844,739,777,777,696
171,Saint Vincent and the Grenadines,591,576,468,503,529,448,415,422,361,333
172,Samoa,250,219,267,238,237,239,207,219,194,179
173,Sao Tome and Principe,11,10,9,12,6,5,6,12,10,9
174,Saudi Arabia,"1,418","1,263","1,396","1,343","1,463","1,696","1,744","2,117","2,135","2,100"
175,Senegal,"1,524","1,285","1,424","1,615","1,340","1,273","1,244","1,533","1,470","1,420"
176,Serbia,-,20,244,704,866,"1,143","1,278","1,351","1,410","1,217"
177,Serbia and Montenegro (former),"3,166","2,196","1,398",801,653,267,232,202,144,132
178,Seychelles,10,8,15,7,6,7,11,16,10,6
179,Sierra Leone,"2,687","2,011","1,985","1,688","1,651","1,740","1,599","1,535","2,058","1,527"
180,Singapore,832,774,690,712,835,779,781,812,818,801
181,Sint Maarten,X,X,-,-,-,45,45,42,35,27
182,Slovakia,706,538,594,528,507,460,424,483,388,370
183,Slovenia,108,74,69,86,62,78,107,119,108,95
184,Somalia,"13,390","4,558","4,451","5,204","3,764","5,190","6,796","6,958","7,404","7,557"
185,South Africa,"3,171","2,758","2,649","2,781","2,629","2,676","2,907","3,023","2,912","3,010"
186,South Sudan,X,X,-,17,59,74,127,124,160,185
187,Soviet Union (former),"5,911","4,978","3,687","1,296","1,264","1,136","1,022","1,042",939,"1,022"
188,Spain,"1,769","1,684","1,890","1,842","2,480","2,928","3,303","3,519","3,045","2,841"
189,Sri Lanka,"2,009","2,036","2,053","1,994","1,847","1,767","1,763","1,913","1,627","1,594"
190,Sudan,"3,577","2,397","2,628","2,471","1,945","2,442","3,580","3,159","3,515","3,658"
191,Suriname,227,216,196,187,178,158,134,156,136,182
192,Sweden,"1,138","1,097",979,968,"1,106",954,"1,066","1,144",950,889
193,Switzerland,798,675,615,635,697,656,640,743,565,570
194,Syria,"2,442","2,555","2,785","3,014","3,366","3,540","3,840","4,800","5,877","14,686"
195,Taiwan,"8,038","6,732","6,154","5,331","5,385","4,697","4,888","5,120","4,858","5,079"
196,Tajikistan,265,299,382,411,550,516,595,593,652,893
197,Tanzania,"2,773","1,850","1,427","1,516",837,774,799,788,"1,415","3,186"
198,Thailand,"10,444","9,384","9,962","9,459","7,583","6,197","7,502","7,039","6,311","5,556"
199,Togo,"1,680","1,563","1,506","1,756","1,257","1,612","1,547","1,938","1,572","1,534"
200,Tonga,379,343,408,276,348,320,327,283,262,225
201,Trinidad and Tobago,"6,256","5,435","5,023","5,214","4,724","3,988","3,212","3,469","3,100","2,758"
202,Tunisia,416,418,440,422,445,429,518,518,535,517
