,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Caribbean   ,34320.0,34025.0,32272.0,47061.0,57915.0,55515.0,155178.0,78263.0,59607.0,95703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,17.0,7.0,9.0,8.0,18.0,9.0,24.0,22.0,17.0,15.0,29.0,17.0,13.0,30.0,20.0,23.0,23.0
Central African Republic,2.0,6.0,2.0,4.0,1.0,6.0,4.0,1.0,1.0,3.0,4.0,3.0,10.0,6.0,5.0,10.0,14.0,17.0,19.0,22.0,27.0,34.0,56.0,54.0,44.0,52.0,80.0,61.0,73.0
Chad,2.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,6.0,9.0,12.0,3.0,24.0,27.0,19.0,18.0,22.0,22.0,27.0,39.0,50.0,69.0,64.0,74.0,84.0,105.0,78.0,72.0
Chile,866.0,920.0,713.0,862.0,1203.0,1295.0,2775.0,1291.0,959.0,1680.0,1881.0,1200.0,1148.0,1073.0,1142.0,1183.0,1549.0,1346.0,2851.0,1585.0,1249.0,1527.0,1586.0,1649.0,1435.0,1486.0,1666.0,1620.0,1752.0
"China, People's Republic",13563.0,16783.0,13488.0,16851.0,22018.0,20917.0,30656.0,17552.0,14737.0,33662.0,54443.0,34353.0,31987.0,23991.0,27309.0,31708.0,35387.0,33134.0,40017.0,37130.0,33969.0,32864.0,31868.0,35387.0,30284.0,31241.0,35794.0,37674.0,39600.0
Colombia,5540.0,5513.0,6439.0,9976.0,12299.0,12724.0,26115.0,10911.0,6730.0,11023.0,13964.0,10826.0,10601.0,7939.0,9819.0,11396.0,15698.0,12089.0,22926.0,16593.0,18417.0,22693.0,23972.0,22196.0,16478.0,17207.0,18601.0,16184.0,17564.0
Comoros,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Democratic Republic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,115.0,116.0,101.0,88.0,122.0,229.0,164.0,211.0,349.0,744.0,908.0,1173.0,1250.0,1246.0,1490.0,1707.0,1437.0,1776.0
"Congo, Democratic Republic 3",55.0,50.0,48.0,68.0,86.0,81.0,131.0,60.0,61.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
